fecha, mse_lr, mse_rf
07/07/24,2893.047974767391,2395.149393696138
07/07/24,2893.047974767391,2395.149393696138
07/07/24,2893.047974767391,2395.149393696138
10/07/24,2100.672987027482,3307.0590384615357
13/07/24,2184.224804815828,3455.2046428571425
14/07/24,8536.658521730888,3316.1995287136037
14/07/24,8536.658521730888,3316.1995287136037
14/07/24,3319.193399466643,3129.284999999998
17/07/24,2539.067670182395,2961.8978333333334
20/07/24,3186.965462430997,2746.6862500000007
04/08/24,3938.52859042946,2604.522236842106
